,NewsOrg,Tweets,Time,Compound Score,Positive Score,Negative Score,Neutral Score
65,BBC,"The cost of living alone, rather than living as a couple, is more than £1000 a year. 💔🏠

This is the price of being… https://t.co/udzI9xGci6",Thu Mar 22 17:33:04 +0000 2018,-0.25,0.0,0.083,0.917
66,BBC,.@ManUtd have applied to have a professional women's team. ⚽️ https://t.co/rxzdRsDhUd https://t.co/meO65NRCtm,Thu Mar 22 17:03:54 +0000 2018,0.0,0.0,0.0,1.0
67,BBC,"Worried about your impact on the planet? 🌍💚

This is how to make your next holiday more eco-friendly. ♻️🌴

👉… https://t.co/wCmDZJledV",Thu Mar 22 17:03:05 +0000 2018,0.128,0.113,0.092,0.795
68,BBC,"Think twice before you throw your kitchen waste in the bin! Here's how to grow plants from kitchen scraps. 🥕🥔🍎

👉… https://t.co/MMgrC8yseG",Thu Mar 22 16:04:06 +0000 2018,-0.4753,0.0,0.128,0.872
69,BBC,"RT @mixital: 🗡️New #DoctorWho writing challenge!🗡️
Write a story featuring Rory Williams! Share it with us here: https://t.co/zW42ZnvJnc

#…",Thu Mar 22 15:00:43 +0000 2018,0.4184,0.141,0.0,0.859
70,BBC,"Could you name the disaster that killed the most people in the last 100 years?

Contagion! The BBC Four Pandemic |… https://t.co/10zHfD8PHT",Thu Mar 22 15:00:01 +0000 2018,-0.9168,0.0,0.385,0.615
71,BBC,"🎶Some musicians love doing them, others don’t.

Seven secretive musicians who like to avoid interviews:… https://t.co/7Rm55Ddynj",Thu Mar 22 14:30:10 +0000 2018,0.6705,0.306,0.1,0.594
72,BBC,"RT @BBCEarth: Today is #WorldWaterDay. This teen has an ingenious way to test the safety of water around the world 
@BBC_Future https://t.c…",Thu Mar 22 13:53:48 +0000 2018,0.4215,0.118,0.0,0.882
73,BBC,"Has @chrishughes_22 read any of his own book? 😂🤦

Here's what he confessed when he took on @BBCR1's fake lie detect… https://t.co/tVaKesbKQ1",Thu Mar 22 13:33:04 +0000 2018,-0.4767,0.0,0.129,0.871
74,BBC,Secret Universe: The Hidden Life of the Cell is on @BBCFOUR tonight at 8pm. 🔬 https://t.co/PVf4thZOb3,Thu Mar 22 13:14:13 +0000 2018,0.0,0.0,0.0,1.0
75,BBC,A battle is raging in your body right now. This is how the TRIM 21 protein defends your cells from viruses. https://t.co/XUAPbRS4j5,Thu Mar 22 13:02:00 +0000 2018,-0.7184,0.0,0.24,0.76
76,BBC,"🎶🎤Footloose, Fleetwood Mac's Rumours and Le Freak are among the classic records about to enter the US National Reco… https://t.co/gDLNOmNLhY",Thu Mar 22 12:30:10 +0000 2018,-0.4404,0.0,0.132,0.868
77,BBC,"Meet the five artists who have been shortlisted for the £30,000 Hepworth sculpture award. https://t.co/1UGe2zQlDT https://t.co/MwWxUZWAhs",Thu Mar 22 11:30:17 +0000 2018,0.5423,0.189,0.0,0.811
78,BBC,"RT @bbcwritersroom: Check out an interview with the #writer of #TheAssassinationofGianniVersace @tomrobsmith on our blog
https://t.co/m5rty…",Thu Mar 22 10:58:34 +0000 2018,0.0,0.0,0.0,1.0
79,BBC,RT @bbcthree: 'I was the only female in a violent all-male gang' https://t.co/NjF720J71M https://t.co/k7T0PqyuiG,Thu Mar 22 10:49:54 +0000 2018,-0.5994,0.0,0.245,0.755
80,BBC,📱Can social media stop you getting a job? https://t.co/M9uTa8vMHA https://t.co/LwXJCGgW0b,Thu Mar 22 10:30:09 +0000 2018,-0.296,0.0,0.216,0.784
81,BBC,RT @bbcpress: 50 classic cookery shows served up on @BBCiPlayer this Easter: https://t.co/RbyjFq6Dsj https://t.co/Hvt1m1dhpU,Thu Mar 22 09:54:21 +0000 2018,0.0,0.0,0.0,1.0
82,BBC,"Come on, who doesn't say ""xylophone"" on a daily basis? 😂📚@daraobriain #LiveAtTheApollo

https://t.co/5k1yKuwpzA",Thu Mar 22 09:33:03 +0000 2018,0.0,0.0,0.0,1.0
83,BBC,"Tantrums are inevitable... 😾😳This is how you raise a baby jaguar. #BigCatsAboutTheHouse

https://t.co/4mBf6xmvOr",Thu Mar 22 08:33:02 +0000 2018,-0.3612,0.0,0.185,0.815
84,BBC,"RT @BBCSport: John Bishop’s on a one man mission to World Cup victory for @SportRelief!

Keep an eye out here for Geoff Hurst's 'dab' 😳🤣🙌…",Wed Mar 21 20:56:41 +0000 2018,0.0,0.0,0.0,1.0
